distPos;knowledgeScore;subject
1;0.5714285714285714;67
2;0.5714285714285714;67
0;0.5714285714285714;67
1;0.5714285714285714;67
0;0.5714285714285714;67
3;0.5714285714285714;67
3;0.5714285714285714;67
0;0.5714285714285714;67
2;0.5714285714285714;67
2;0.21428571428571427;69
4;0.21428571428571427;69
3;0.21428571428571427;69
2;0.21428571428571427;69
2;0.21428571428571427;69
3;0.21428571428571427;69
1;0.21428571428571427;69
1;0.21428571428571427;69
0;0.21428571428571427;69
2;0.25;72
1;0.25;72
1;0.25;72
3;0.25;72
2;0.25;72
0;0.25;72
1;0.25;72
3;0.25;72
2;0.25;72
1;0.7857142857142857;73
1;0.7857142857142857;73
2;0.7857142857142857;73
3;0.7857142857142857;73
2;0.7857142857142857;73
2;0.7857142857142857;73
2;0.7857142857142857;73
2;0.7857142857142857;73
2;0.7857142857142857;73
1;0.6071428571428571;75
0;0.6071428571428571;75
1;0.6071428571428571;75
2;0.6071428571428571;75
0;0.6071428571428571;75
3;0.6071428571428571;75
2;0.6071428571428571;75
0;0.6071428571428571;75
1;0.6071428571428571;75
2;0.5357142857142857;79
3;0.5357142857142857;79
2;0.5357142857142857;79
1;0.5357142857142857;79
2;0.5357142857142857;79
2;0.5357142857142857;79
0;0.5357142857142857;79
0;0.5357142857142857;79
2;0.5357142857142857;79
0;0.39285714285714285;80
1;0.39285714285714285;80
1;0.39285714285714285;80
1;0.39285714285714285;80
2;0.39285714285714285;80
3;0.39285714285714285;80
3;0.39285714285714285;80
2;0.39285714285714285;80
2;0.39285714285714285;80
2;0.5714285714285714;81
2;0.5714285714285714;81
1;0.5714285714285714;81
2;0.5714285714285714;81
1;0.5714285714285714;81
1;0.5714285714285714;81
2;0.5714285714285714;81
1;0.5714285714285714;81
0;0.5714285714285714;81
2;0.21428571428571427;83
1;0.21428571428571427;83
3;0.21428571428571427;83
1;0.21428571428571427;83
1;0.21428571428571427;83
4;0.21428571428571427;83
0;0.21428571428571427;83
1;0.21428571428571427;83
0;0.21428571428571427;83
1;0.25;85
2;0.25;85
2;0.25;85
1;0.25;85
2;0.25;85
1;0.25;85
1;0.25;85
3;0.25;85
2;0.25;85
4;0.32142857142857145;84
2;0.32142857142857145;84
2;0.32142857142857145;84
0;0.32142857142857145;84
0;0.32142857142857145;84
1;0.32142857142857145;84
2;0.32142857142857145;84
1;0.32142857142857145;84
2;0.32142857142857145;84
2;0.7142857142857143;86
1;0.7142857142857143;86
2;0.7142857142857143;86
0;0.7142857142857143;86
1;0.7142857142857143;86
1;0.7142857142857143;86
0;0.7142857142857143;86
0;0.7142857142857143;86
0;0.7142857142857143;86
0;0.5357142857142857;89
0;0.5357142857142857;89
1;0.5357142857142857;89
0;0.5357142857142857;89
4;0.5357142857142857;89
3;0.5357142857142857;89
2;0.5357142857142857;89
2;0.5357142857142857;89
2;0.5357142857142857;89
0;0.6428571428571429;95
3;0.6428571428571429;95
3;0.6428571428571429;95
1;0.6428571428571429;95
3;0.6428571428571429;95
0;0.6428571428571429;95
0;0.6428571428571429;95
2;0.6428571428571429;95
0;0.6428571428571429;95
0;0.39285714285714285;97
0;0.39285714285714285;97
3;0.39285714285714285;97
2;0.39285714285714285;97
2;0.39285714285714285;97
1;0.39285714285714285;97
3;0.39285714285714285;97
3;0.39285714285714285;97
4;0.39285714285714285;97
